idMao,jogadorMao,cartaAltaRobo,cartaMediaRobo,cartaBaixaRobo,cartaAltaHumano,cartaMediaHumano,cartaBaixaHumano,primeiraCartaRobo,primeiraCartaHumano,segundaCartaRobo,segundaCartaHumano,terceiraCartaRobo,terceiraCartaHumano,ganhadorPrimeiraRodada,ganhadorSegundaRodada,ganhadorTerceiraRodada,quemPediuEnvido,quemPediuFaltaEnvido,quemPediuRealEnvido,pontosEnvidoRobo,pontosEnvidoHumano,quemNegouEnvido,quemGanhouEnvido,tentosEnvido,quemFlor,quemContraFlor,quemContraFlorResto,quemNegouFlor,pontosFlorRobo,pontosFlorHumano,quemGanhouFlor,tentosFlor,quemEscondeuPontosEnvido,quemEscondeuPontosFlor,quemTruco,quandoTruco,quemRetruco,quandoRetruco,quemValeQuatro,quandoValeQuatro,quemNegouTruco,quemGanhouTruco,tentosTruco,tentosAnterioresRobo,tentosAnterioresHumano,tentosPosterioresRobo,tentosPosterioresHumano,quemBaralho,quandoBaralho,quemContraFlorFalta,quemEnvidoEnvido,quemFlorFlor,quandoCartaVirada,naipeCartaAltaRobo,naipeCartaMediaRobo,naipeCartaBaixaRobo,naipeCartaAltaHumano,naipeCartaMediaHumano,naipeCartaBaixaHumano,naipePrimeiraCartaRobo,naipePrimeiraCartaHumano,naipeSegundaCartaRobo,naipeSegundaCartaHumano,naipeTerceiraCartaRobo,naipeTerceiraCartaHumano,quantidadeChamadasHumano,quantidadeChamadasRobo,qualidadeMaoRobo,qualidadeMaoHumano,quantidadeChamadasEnvidoRobo,quantidadeChamadasEnvidoHumano,saldoTruco,saldoEnvido,saldoFlor
4737,1,40,7,6,24,6,2,7,24,40,6,6,2,2,1,1,1,0,2,27,28,1,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,12,23,14,24,0,0,NULL,NULL,NULL,NULL,OURO,OURO,BASTOS,BASTOS,COPAS,BASTOS,OURO,BASTOS,OURO,COPAS,BASTOS,BASTOS,0,0,0,0,NULL,NULL,2,-2,NULL
4738,1,42,24,6,0,0,0,24,6,-46,-46,-46,-46,1,1,1,0,0,0,23,5,0,0,0,1,0,0,0,30,0,1,30,0,0,1,2,0,0,0,0,2,1,1,0,0,4,0,0,0,NULL,NULL,NULL,NULL,ESPADAS,ESPADAS,ESPADAS,NULL,NULL,NULL,ESPADAS,COPAS,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,1,0,NULL
4739,2,8,7,2,7,3,1,8,7,2,3,7,1,1,2,1,2,0,0,5,30,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,5,1,0,0,NULL,NULL,NULL,NULL,COPAS,ESPADAS,BASTOS,BASTOS,COPAS,COPAS,COPAS,BASTOS,BASTOS,COPAS,ESPADAS,COPAS,0,0,0,0,NULL,NULL,1,-1,NULL
4740,1,24,7,1,0,0,0,1,8,-15,-15,-15,-15,2,2,2,0,0,0,24,22,0,0,0,1,0,0,0,27,0,1,27,0,0,2,2,0,0,0,0,1,2,1,5,1,8,2,0,0,NULL,NULL,NULL,NULL,OURO,OURO,OURO,NULL,NULL,NULL,OURO,COPAS,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,-1,0,NULL
4741,2,7,6,1,0,0,0,1,16,6,7,-15,-15,2,2,2,2,0,0,24,27,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,2,8,5,0,0,NULL,NULL,NULL,NULL,OURO,COPAS,OURO,NULL,NULL,NULL,OURO,ESPADAS,COPAS,COPAS,NULL,NULL,0,0,0,0,NULL,NULL,-1,-2,NULL
4742,1,12,8,7,0,0,0,7,16,-15,-15,-15,-15,2,2,2,0,0,2,1,27,1,2,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,1,8,5,8,7,0,0,NULL,NULL,NULL,NULL,COPAS,OURO,ESPADAS,NULL,NULL,NULL,ESPADAS,ESPADAS,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,-1,-1,NULL
4743,2,7,6,1,16,8,2,1,16,6,8,7,2,2,2,1,2,0,0,4,27,1,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,2,8,7,8,10,0,0,NULL,NULL,NULL,NULL,BASTOS,ESPADAS,COPAS,COPAS,OURO,COPAS,COPAS,COPAS,ESPADAS,OURO,BASTOS,COPAS,0,0,0,0,NULL,NULL,-2,-1,NULL
4744,1,7,4,1,0,0,0,-46,-46,-46,-46,-46,-46,1,1,1,1,0,0,24,23,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,8,10,11,10,0,0,NULL,NULL,NULL,NULL,OURO,COPAS,OURO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,1,2,NULL
4745,2,4,3,1,0,0,0,4,6,-15,-15,-15,-15,2,2,2,1,0,0,31,0,2,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,1,11,10,12,11,0,0,NULL,NULL,NULL,NULL,BASTOS,OURO,BASTOS,NULL,NULL,NULL,BASTOS,COPAS,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,-1,1,NULL
4746,1,52,6,6,12,4,3,6,12,52,4,6,3,2,1,1,0,0,2,1,33,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,12,11,14,12,0,0,NULL,NULL,NULL,NULL,ESPADAS,OURO,BASTOS,COPAS,BASTOS,BASTOS,BASTOS,COPAS,ESPADAS,BASTOS,BASTOS,BASTOS,0,0,0,0,NULL,NULL,2,-1,NULL
4747,2,7,3,2,0,0,0,7,7,3,8,-15,-15,0,2,2,1,0,0,31,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,2,14,12,15,14,0,0,NULL,NULL,NULL,NULL,OURO,BASTOS,BASTOS,NULL,NULL,NULL,OURO,ESPADAS,BASTOS,OURO,NULL,NULL,0,0,0,0,NULL,NULL,-2,1,NULL
4748,1,16,6,1,0,0,0,16,0,-15,0,-15,0,1,2,2,1,0,0,24,20,0,1,0,2,0,0,0,0,27,0,0,0,0,2,1,0,0,0,0,1,2,1,15,14,15,18,0,0,NULL,NULL,NULL,NULL,COPAS,BASTOS,BASTOS,NULL,NULL,NULL,COPAS,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,-1,0,NULL
4749,2,40,6,4,0,0,0,-46,-46,-46,-46,-46,-46,1,1,1,1,0,0,27,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,2,1,3,15,18,19,18,0,0,NULL,NULL,NULL,NULL,OURO,OURO,COPAS,NULL,NULL,NULL,COPAS,COPAS,OURO,NULL,NULL,NULL,0,0,0,0,NULL,NULL,3,1,NULL
4750,1,52,12,3,0,0,0,3,12,-15,-15,-15,-15,2,2,2,0,0,0,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,1,2,2,19,18,19,20,0,0,NULL,NULL,NULL,NULL,ESPADAS,COPAS,BASTOS,NULL,NULL,NULL,BASTOS,OURO,COPAS,OURO,ESPADAS,NULL,0,0,0,0,NULL,NULL,-2,0,NULL
4751,2,16,6,1,0,0,0,-15,0,-15,0,-15,0,2,2,2,2,0,0,24,25,0,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1,19,20,19,23,0,0,NULL,NULL,NULL,NULL,BASTOS,ESPADAS,ESPADAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,-1,-2,NULL
4752,1,40,3,2,0,0,0,-46,-46,-46,-46,-46,-46,1,1,1,0,0,0,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,19,23,20,23,0,0,NULL,NULL,NULL,NULL,OURO,BASTOS,COPAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,1,0,NULL
4753,2,42,12,7,0,0,0,-46,-46,-46,-46,-46,-46,1,1,1,2,0,0,7,26,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,20,23,21,24,0,0,NULL,NULL,NULL,NULL,ESPADAS,OURO,COPAS,NULL,NULL,NULL,NULL,COPAS,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,1,-1,NULL
4754,1,4,3,1,0,0,0,4,0,-15,0,-15,0,1,2,2,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1,0,0,0,1,0,0,NULL,NULL,NULL,NULL,COPAS,BASTOS,ESPADAS,NULL,NULL,NULL,COPAS,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,-1,0,NULL
4755,2,12,6,1,16,2,1,1,16,6,2,12,1,2,1,1,0,0,2,21,26,1,2,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,2,0,1,2,2,0,0,NULL,NULL,NULL,NULL,OURO,OURO,COPAS,ESPADAS,BASTOS,ESPADAS,COPAS,ESPADAS,OURO,BASTOS,OURO,ESPADAS,0,0,0,0,NULL,NULL,2,-1,NULL
4756,1,52,6,1,0,0,0,6,3,-46,-46,-46,-46,1,1,1,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,2,2,4,2,2,2,NULL,NULL,NULL,NULL,ESPADAS,COPAS,OURO,NULL,NULL,NULL,COPAS,BASTOS,OURO,NULL,NULL,NULL,0,0,0,0,NULL,NULL,2,0,NULL
4757,2,24,16,7,0,0,0,-15,0,-15,0,-15,0,2,2,2,0,0,2,3,27,1,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1,4,2,4,4,0,0,NULL,NULL,NULL,NULL,BASTOS,COPAS,ESPADAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,-1,-1,NULL
4758,1,50,16,2,12,4,3,2,12,16,4,50,3,2,1,1,0,0,0,27,28,0,0,0,1,0,0,0,28,0,1,28,0,0,0,0,0,0,0,0,0,1,1,4,4,8,4,0,0,NULL,NULL,NULL,NULL,BASTOS,BASTOS,BASTOS,COPAS,COPAS,OURO,BASTOS,COPAS,BASTOS,COPAS,BASTOS,OURO,0,0,0,0,NULL,NULL,1,0,NULL
4759,2,40,24,2,0,0,0,-46,-46,-46,-46,-46,-46,1,1,1,2,0,0,7,25,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,8,4,9,5,0,0,NULL,NULL,NULL,NULL,OURO,ESPADAS,BASTOS,NULL,NULL,NULL,NULL,COPAS,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,1,-1,NULL
4760,1,50,12,4,0,0,0,4,0,-15,0,-15,0,1,2,2,1,0,0,28,32,0,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1,9,5,9,8,0,0,NULL,NULL,NULL,NULL,BASTOS,COPAS,COPAS,NULL,NULL,NULL,COPAS,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,-1,-2,NULL
